
Node Current Mismatch Report


Bus,    Node, "Current Sum (A)", "%error", "Max Current (A)"
"83" ..,  1,    0.00000,         0.000000,   78.76337
"   -" ,  2,    0.00000,         0.000000,   81.86356
"   -" ,  3,    0.00056,         0.000697,   80.03369
"85" ..,  3,    0.00117,         0.006013,   19.48471
"87" ..,  1,    0.00000,         0.000000,   34.68413
"   -" ,  2,    0.00036,         0.000712,   51.14927
"   -" ,  3,    0.00000,         0.000000,   20.70926
"88" ..,  1,    0.00033,         0.001594,   20.45047
"89" ..,  1,    0.00000,         0.000000,   19.32789
"   -" ,  2,    0.00000,         0.000000,   33.95071
"   -" ,  3,    0.00000,         0.000000,   20.70882
"90" ..,  2,    0.00037,         0.001786,   20.50000
"91" ..,  1,    0.00000,         0.000000,   19.32811
"   -" ,  2,    0.00000,         0.000000,   19.13701
"   -" ,  3,    0.00000,         0.000000,   20.70846
"92" ..,  3,    0.00108,         0.005229,   20.70729
"93" ..,  1,    0.00000,         0.000000,   19.32862
"   -" ,  2,    0.00000,         0.000000,   19.13733
"   -" ,  3,    0.00000,         0.000001,    0.00098
"94" ..,  1,    0.00033,         0.001710,   19.32886
"95" ..,  1,    0.00000,              0.0,    0.00000
"   -" ,  2,    0.00018,         0.000959,   19.13775
"   -" ,  3,    0.00000,              0.0,    0.00000
"96" ..,  2,    0.00018,         0.001916,    9.57036
"98" ..,  1,    0.00030,         0.001558,   19.37870
"   -" ,  2,    0.00000,         0.000000,   19.05668
"   -" ,  3,    0.00000,         0.000000,   17.83189
"99" ..,  1,    0.00000,         0.000001,    0.00082
"   -" ,  2,    0.00034,         0.001770,   19.05827
"   -" ,  3,    0.00000,         0.000000,   17.83256
"100" .,  1,    0.00000,              0.0,    0.00000
"   -" ,  2,    0.00000,              0.0,    0.00000
"   -" ,  3,    0.00098,         0.005499,   17.83373
"197" .,  1,    0.00000,         0.000000,   64.71609
"   -" ,  2,    0.00000,         0.000001,   38.16654
"   -" ,  3,    0.00000,         0.000000,   48.85013
"101" .,  1,    0.00000,         0.000000,   64.71636
"   -" ,  2,    0.00000,         0.000000,   38.16698
"   -" ,  3,    0.00000,         0.000000,   48.85238
"102" .,  3,    0.00051,         0.001047,   48.85257
"105" .,  1,    0.00000,         0.000000,   64.71666
"   -" ,  2,    0.00000,         0.000000,   38.16979
"   -" ,  3,    0.00000,         0.000000,    0.00435
"103" .,  3,    0.00105,         0.002686,   39.10477
"104" .,  3,    0.00108,         0.005523,   19.57344
"106" .,  2,    0.00034,         0.000901,   38.16999
"108" .,  1,    0.00000,         0.000000,   64.71809
"   -" ,  2,    0.00000,         0.000000,    0.00310
"   -" ,  3,    0.00000,         0.000000,    0.00328
"107" .,  2,    0.00034,         0.001796,   19.10054
"109" .,  1,    0.00030,         0.000469,   64.71848
"300" .,  1,    0.00000,         0.000165,    0.00000
"   -" ,  2,    0.00000,         0.000197,    0.00000
"   -" ,  3,    0.00000,         0.000091,    0.00000
"110" .,  1,    0.00000,         0.000000,   45.51087
"111" .,  1,    0.00015,         0.001577,    9.57294
"112" .,  1,    0.00015,         0.000420,   35.93853
"113" .,  1,    0.00030,         0.001123,   26.83259
"114" .,  1,    0.00015,         0.001576,    9.54677
"135" .,  1,    0.00000,         0.000000,  135.67419
"   -" ,  2,    0.00000,         0.000000,  136.62721
"   -" ,  3,    0.00000,         0.000001,   98.57325
"152" .,  1,    0.00000,         0.000000,  331.14984
"   -" ,  2,    0.00000,         0.000000,  251.48292
"   -" ,  3,    0.00000,         0.000000,  267.22552
"160" .,  1,    0.00000,         0.000000,  236.26388
"   -" ,  2,    0.00000,         0.000000,  177.71826
"   -" ,  3,    0.00000,         0.000000,  192.04172
